"CA1-3 Personal income summary"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"17069","Hardin, IL",28982
"17071","Henderson, IL",36872
"17073","Henry, IL",37404
"17075","Iroquois, IL",39189
"17077","Jackson, IL",33213
"17079","Jasper, IL",35451
"17081","Jefferson, IL",33546
"17083","Jersey, IL",38503
"17085","Jo Daviess, IL",42456
"17087","Johnson, IL",25920
"17089","Kane, IL",37293
"17091","Kankakee, IL",33171
"17093","Kendall, IL",38151
"17095","Knox, IL",33471
"17097","Lake, IL",55656
"17099","LaSalle, IL",37237
"17101","Lawrence, IL",28625
"17103","Lee, IL",34815
"17105","Livingston, IL",42417
"17107","Logan, IL",35094
"17109","McDonough, IL",32538
"17111","McHenry, IL",40811
"17113","McLean, IL",41816
"17115","Macon, IL",40591
"17117","Macoupin, IL",36510
"17119","Madison, IL",38133
"17121","Marion, IL",33356
"17123","Marshall, IL",41192
"17125","Mason, IL",38136
"17127","Massac, IL",31843
"17129","Menard, IL",41543
"17131","Mercer, IL",40639
"17133","Monroe, IL",44712
"17135","Montgomery, IL",32821
"17137","Morgan, IL",33922
"17139","Moultrie, IL",37363
"17141","Ogle, IL",35741
"17143","Peoria, IL",45375
"17145","Perry, IL",26540
"17147","Piatt, IL",48481
"17149","Pike, IL",32959
"17151","Pope, IL",27582
"17153","Pulaski, IL",32688
"17155","Putnam, IL",39408
"17157","Randolph, IL",29682
"17159","Richland, IL",31293
"17161","Rock Island, IL",39132
"17163","St. Clair, IL",36680
"17165","Saline, IL",33214
"17167","Sangamon, IL",43261
"17169","Schuyler, IL",35565
"17171","Scott, IL",35634
"17173","Shelby, IL",35486
"17175","Stark, IL",41870
"17177","Stephenson, IL",36980
"17179","Tazewell, IL",41909
"17181","Union, IL",31273
"17183","Vermilion, IL",32619
"17185","Wabash, IL",34751
"17187","Warren, IL",35144
"17189","Washington, IL",39530
"17191","Wayne, IL",33827
"17193","White, IL",37977
"17195","Whiteside, IL",37306
"17197","Will, IL",42459
"17199","Williamson, IL",33674
"17201","Winnebago, IL",34377
"17203","Woodford, IL",42811
"18001","Adams, IN",29566
"18003","Allen, IN",35199
"18005","Bartholomew, IN",39645
"18007","Benton, IN",40109
"18009","Blackford, IN",30489
"18011","Boone, IN",52975
"18013","Brown, IN",35863
"18015","Carroll, IN",33062
"18017","Cass, IN",31648
"18019","Clark, IN",33898
"18021","Clay, IN",30977
"18023","Clinton, IN",32076
"18025","Crawford, IN",27820
"18027","Daviess, IN",32989
"18029","Dearborn, IN",35376
"18031","Decatur, IN",34354
"18033","DeKalb, IN",31863
"18035","Delaware, IN",30164
"18037","Dubois, IN",40718
"18039","Elkhart, IN",32131
"18041","Fayette, IN",28590
"18043","Floyd, IN",40219
"18045","Fountain, IN",33382
"18047","Franklin, IN",36561
"18049","Fulton, IN",31284
"18051","Gibson, IN",35066
"18053","Grant, IN",32141
"18055","Greene, IN",31059
"18057","Hamilton, IN",51824
"18059","Hancock, IN",43714
"18061","Harrison, IN",32122
"18063","Hendricks, IN",36188
"18065","Henry, IN",29214
"18067","Howard, IN",32267
"18069","Huntington, IN",32225
"18071","Jackson, IN",32941
"18073","Jasper, IN",36012
"18075","Jay, IN",30862
"18077","Jefferson, IN",29872
"18079","Jennings, IN",31435
"18081","Johnson, IN",36570
"18083","Knox, IN",36312
"18085","Kosciusko, IN",37541
"18087","Lagrange, IN",23897
"18089","Lake, IN",34847
"18091","LaPorte, IN",31650
"18093","Lawrence, IN",31205
"18095","Madison, IN",30421
"18097","Marion, IN",38309
"18099","Marshall, IN",32137
"18101","Martin, IN",33378
"18103","Miami, IN",27000
"18105","Monroe, IN",31021
"18107","Montgomery, IN",33045
"18109","Morgan, IN",37634
"18111","Newton, IN",33054
"18113","Noble, IN",30378
"18115","Ohio, IN",36241
"18117","Orange, IN",30007
"18119","Owen, IN",30009
"18121","Parke, IN",28182
"18123","Perry, IN",30253
"18125","Pike, IN",31525
"18127","Porter, IN",42999
"18129","Posey, IN",40731
"18131","Pulaski, IN",35071
"18133","Putnam, IN",31817
"18135","Randolph, IN",32773
"18137","Ripley, IN",30055
"18139","Rush, IN",37175
"18141","St. Joseph, IN",36289
"18143","Scott, IN",28041
"18145","Shelby, IN",35376
"18147","Spencer, IN",33906
"18149","Starke, IN",27844
"18151","Steuben, IN",31284
"18153","Sullivan, IN",29175
"18155","Switzerland, IN",28435
"18157","Tippecanoe, IN",31172
"18159","Tipton, IN",37631
"18161","Union, IN",33458
"18163","Vanderburgh, IN",38608
"18165","Vermillion, IN",33665
"18167","Vigo, IN",31666
"18169","Wabash, IN",33469
"18171","Warren, IN",35958
"18173","Warrick, IN",41726
"18175","Washington, IN",29544
"18177","Wayne, IN",30909
"18179","Wells, IN",34321
"18181","White, IN",34982
"18183","Whitley, IN",33958
"19001","Adair, IA",40325
"19003","Adams, IA",43553
"19005","Allamakee, IA",35588
"19007","Appanoose, IA",29636
"19009","Audubon, IA",52562
"19011","Benton, IA",42432
"19013","Black Hawk, IA",37461
"19015","Boone, IA",40920
"19017","Bremer, IA",43157
"19019","Buchanan, IA",39192
"19021","Buena Vista, IA",41466
"19023","Butler, IA",45534
"19025","Calhoun, IA",48966
"19027","Carroll, IA",45157
"19029","Cass, IA",43471
"19031","Cedar, IA",43351
"19033","Cerro Gordo, IA",41225
"19035","Cherokee, IA",45252
"19037","Chickasaw, IA",43446
"19039","Clarke, IA",32255
"19041","Clay, IA",44683
"19043","Clayton, IA",38662
"19045","Clinton, IA",39340
"19047","Crawford, IA",42843
"19049","Dallas, IA",47740
"19051","Davis, IA",27254
"19053","Decatur, IA",27009
"19055","Delaware, IA",41861
"19057","Des Moines, IA",38869
"19059","Dickinson, IA",45680
"19061","Dubuque, IA",38886
"19063","Emmet, IA",39635
"19065","Fayette, IA",37074
"19067","Floyd, IA",38187
"19069","Franklin, IA",50311
"19071","Fremont, IA",43581
"19073","Greene, IA",46956
"19075","Grundy, IA",49783
"19077","Guthrie, IA",41971
"19079","Hamilton, IA",45945
"19081","Hancock, IA",43929
"19083","Hardin, IA",45878
"19085","Harrison, IA",41885
"19087","Henry, IA",32561
"19089","Howard, IA",40392
"19091","Humboldt, IA",45462
"19093","Ida, IA",52555
"19095","Iowa, IA",40554
"19097","Jackson, IA",36099
"19099","Jasper, IA",34457
"19101","Jefferson, IA",33544
"19103","Johnson, IA",41349
"19105","Jones, IA",33518
"19107","Keokuk, IA",39175
"19109","Kossuth, IA",52330
"19111","Lee, IA",32827
"19113","Linn, IA",43378
"19115","Louisa, IA",35508
"19117","Lucas, IA",30301
"19119","Lyon, IA",48644
"19121","Madison, IA",37816
"19123","Mahaska, IA",36013
"19125","Marion, IA",34823
"19127","Marshall, IA",36420
"19129","Mills, IA",44674
"19131","Mitchell, IA",45802
"19133","Monona, IA",41972
"19135","Monroe, IA",35680
"19137","Montgomery, IA",37834
