"CA1-3 Personal income summary"
"Population (number of persons) 1/" 
"Bureau of Economic Analysis" 
"County"
"16069","Nez Perce, ID",39543
"16071","Oneida, ID",4215
"16073","Owyhee, ID",11438
"16075","Payette, ID",22624
"16077","Power, ID",7766
"16079","Shoshone, ID",12672
"16081","Teton, ID",10166
"16083","Twin Falls, ID",78005
"16085","Valley, ID",9638
"16087","Washington, ID",10255
"17001","Adams, IL",67159
"17003","Alexander, IL",8036
"17005","Bond, IL",17727
"17007","Boone, IL",54367
"17009","Brown, IL",6878
"17011","Bureau, IL",34606
"17013","Calhoun, IL",5048
"17015","Carroll, IL",15163
"17017","Cass, IL",13579
"17019","Champaign, IL",201685
"17021","Christian, IL",34865
"17023","Clark, IL",16161
"17025","Clay, IL",13728
"17027","Clinton, IL",37956
"17029","Coles, IL",53916
"17031","Cook, IL",5217080
"17033","Crawford, IL",19857
"17035","Cumberland, IL",11096
"17037","DeKalb, IL",104743
"17039","De Witt, IL",16578
"17041","Douglas, IL",19836
"17043","DuPage, IL",923222
"17045","Edgar, IL",18393
"17047","Edwards, IL",6618
"17049","Effingham, IL",34280
"17051","Fayette, IL",22133
"17053","Ford, IL",13976
"17055","Franklin, IL",39627
"17057","Fulton, IL",36962
"17059","Gallatin, IL",5528
"17061","Greene, IL",13798
"17063","Grundy, IL",50130
"17065","Hamilton, IL",8425
"17067","Hancock, IL",19031
"17069","Hardin, IL",4281
"17071","Henderson, IL",7196
"17073","Henry, IL",50328
"17075","Iroquois, IL",29475
"17077","Jackson, IL",60365
"17079","Jasper, IL",9717
"17081","Jefferson, IL",38713
"17083","Jersey, IL",22916
"17085","Jo Daviess, IL",22712
"17087","Johnson, IL",12654
"17089","Kane, IL",520271
"17091","Kankakee, IL",113698
"17093","Kendall, IL",116631
"17095","Knox, IL",52917
"17097","Lake, IL",706222
"17099","LaSalle, IL",113518
"17101","Lawrence, IL",16745
"17103","Lee, IL",35467
"17105","Livingston, IL",38885
"17107","Logan, IL",30140
"17109","McDonough, IL",32582
"17111","McHenry, IL",308944
"17113","McLean, IL",170556
"17115","Macon, IL",110730
"17117","Macoupin, IL",47687
"17119","Madison, IL",268459
"17121","Marion, IL",39335
"17123","Marshall, IL",12533
"17125","Mason, IL",14485
"17127","Massac, IL",15442
"17129","Menard, IL",12703
"17131","Mercer, IL",16363
"17133","Monroe, IL",33306
"17135","Montgomery, IL",29848
"17137","Morgan, IL",35543
"17139","Moultrie, IL",14824
"17141","Ogle, IL",53115
"17143","Peoria, IL",186834
"17145","Perry, IL",22264
"17147","Piatt, IL",16675
"17149","Pike, IL",16398
"17151","Pope, IL",4370
"17153","Pulaski, IL",6046
"17155","Putnam, IL",5968
"17157","Randolph, IL",33361
"17159","Richland, IL",16230
"17161","Rock Island, IL",147556
"17163","St. Clair, IL",270259
"17165","Saline, IL",24981
"17167","Sangamon, IL",198844
"17169","Schuyler, IL",7479
"17171","Scott, IL",5271
"17173","Shelby, IL",22212
"17175","Stark, IL",5667
"17177","Stephenson, IL",47563
"17179","Tazewell, IL",135661
"17181","Union, IL",17708
"17183","Vermilion, IL",81509
"17185","Wabash, IL",11834
"17187","Warren, IL",17818
"17189","Washington, IL",14533
"17191","Wayne, IL",16651
"17193","White, IL",14663
"17195","Whiteside, IL",58388
"17197","Will, IL",681545
"17199","Williamson, IL",66622
"17201","Winnebago, IL",293993
"17203","Woodford, IL",38861
"18001","Adams, IN",34370
"18003","Allen, IN",358327
"18005","Bartholomew, IN",77870
"18007","Benton, IN",8853
"18009","Blackford, IN",12594
"18011","Boone, IN",57481
"18013","Brown, IN",15099
"18015","Carroll, IN",20031
"18017","Cass, IN",38828
"18019","Clark, IN",111570
"18021","Clay, IN",26894
"18023","Clinton, IN",33104
"18025","Crawford, IN",10658
"18027","Daviess, IN",31978
"18029","Dearborn, IN",50113
"18031","Decatur, IN",25944
"18033","DeKalb, IN",42462
"18035","Delaware, IN",117660
"18037","Dubois, IN",42199
"18039","Elkhart, IN",198941
"18041","Fayette, IN",24285
"18043","Floyd, IN",74989
"18045","Fountain, IN",17213
"18047","Franklin, IN",23041
"18049","Fulton, IN",20872
"18051","Gibson, IN",33505
"18053","Grant, IN",69793
"18055","Greene, IN",32895
"18057","Hamilton, IN",282810
"18059","Hancock, IN",70529
"18061","Harrison, IN",39336
"18063","Hendricks, IN",147979
"18065","Henry, IN",49264
"18067","Howard, IN",82800
"18069","Huntington, IN",37211
"18071","Jackson, IN",42966
"18073","Jasper, IN",33416
"18075","Jay, IN",21310
"18077","Jefferson, IN",32249
"18079","Jennings, IN",28196
"18081","Johnson, IN",141656
"18083","Knox, IN",38500
"18085","Kosciusko, IN",77336
"18087","Lagrange, IN",37382
"18089","Lake, IN",495558
"18091","LaPorte, IN",111374
"18093","Lawrence, IN",46195
"18095","Madison, IN",131235
"18097","Marion, IN",911296
"18099","Marshall, IN",47050
"18101","Martin, IN",10332
