"CA1-3 Personal income summary"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2009","2010","2011"
"16025","Camas, ID",36806,34101,38661
"16027","Canyon, ID",22243,22890,23575
"16029","Caribou, ID",31682,30044,33809
"16031","Cassia, ID",30386,32066,34515
"16033","Clark, ID",40828,43238,54591
"16035","Clearwater, ID",28415,29363,30493
"16037","Custer, ID",32766,31927,34186
"16039","Elmore, ID",32999,33569,35173
"16041","Franklin, ID",25902,26559,27265
"16043","Fremont (includes Yellowstone Park), ID",23720,23178,24545
"16045","Gem, ID",26024,26593,26895
"16047","Gooding, ID",30189,35754,41179
"16049","Idaho, ID",26006,27262,27827
"16051","Jefferson, ID",25469,25529,27612
"16053","Jerome, ID",27764,29736,31543
"16055","Kootenai, ID",31092,31761,32923
"16057","Latah, ID",29840,30816,31809
"16059","Lemhi, ID",29181,29847,30733
"16061","Lewis, ID",37535,41975,43570
"16063","Lincoln, ID",26001,27755,30533
"16065","Madison, ID",18296,18245,19184
"16067","Minidoka, ID",29008,28019,31486
"16069","Nez Perce, ID",34022,34967,36109
"16071","Oneida, ID",26257,26317,28032
"16073","Owyhee, ID",27110,29132,31541
"16075","Payette, ID",25353,27329,28869
"16077","Power, ID",27326,26708,30936
"16079","Shoshone, ID",29288,31395,33097
"16081","Teton, ID",25382,24490,25705
"16083","Twin Falls, ID",29912,30446,32134
"16085","Valley, ID",32247,34095,35942
"16087","Washington, ID",25945,26506,27605
"17001","Adams, IL",35437,36702,38345
"17003","Alexander, IL",24304,26019,26943
