FIPS ,STATE,COUNTY,Manu_Emp,Govt_Emp,Farm_Emp,Total_Emp,EMP06
21123,KY,Larue,526,508,1222,4377,5789
21125,KY,Laurel,3803,2113,1519,21195,30926
21127,KY,Lawrence,91,632,408,3809,4688
21129,KY,Lee,174,468,220,2443,2803
21131,KY,Leslie,160,759,23,3719,2841
21133,KY,Letcher,76,1319,41,8123,7992
21135,KY,Lewis,1398,574,1167,4766,4606
21137,KY,Lincoln,357,756,1982,5943,8211
21147,KY,McCreary,613,823,133,3164,4593
21151,KY,Madison,4348,5593,2237,28145,42397
21153,KY,Magoffin,223,701,514,3395,3737
21155,KY,Marion,1298,723,1591,6944,10800
21159,KY,Martin,29,618,26,3895,3863
21161,KY,Mason,3043,983,1344,10881,12568
21165,KY,Menifee,134,305,506,1587,1949
21167,KY,Mercer,2012,787,1586,8930,11056
21169,KY,Metcalfe,1515,502,1416,4753,4552
21171,KY,Monroe,1871,748,1458,6280,5693
21173,KY,Montgomery,2059,979,1158,9629,14775
21175,KY,Morgan,335,938,1035,4189,5083
21181,KY,Nicholas,794,343,952,3186,2484
21189,KY,Owsley,24,299,416,1198,1473
21191,KY,Pendleton,523,587,1172,4346,4513
21193,KY,Perry,268,2216,59,12888,16613
21195,KY,Pike,420,3746,59,27639,30458
21197,KY,Powell,733,636,420,3619,4627
21199,KY,Pulaski,4452,3363,2628,26825,34183
21201,KY,Robertson,13,134,444,795,897
21203,KY,Rockcastle,1164,640,1052,5232,5756
21205,KY,Rowan,908,2750,606,9793,12925
21207,KY,Russell,3789,991,1356,9268,9193
21217,KY,Taylor,5314,1306,1401,13664,14852
21227,KY,Warren,7216,6680,2610,47113,70033
21231,KY,Wayne,1922,812,1292,6940,8887
21235,KY,Whitley,1288,1681,436,14261,14998
21237,KY,Wolfe,173,392,532,1948,2213
21239,KY,Woodford,3613,825,1830,12719,15775
24001,MD,Allegany,4755,5554,284,36160,39074
24021,MD,Frederick,6058,10892,2339,72944,127493
24023,MD,Garrett,2057,1582,872,14328,20908
24043,MD,Washington,8931,9971,1379,67236,80402
28003,MS,Alcorn,5743,2244,563,16153,17536
28007,MS,Attala,2180,1155,565,7524,8525
28009,MS,Benton,295,430,356,1864,2453
28013,MS,Calhoun,2289,861,634,6139,5941
28015,MS,Carroll,273,346,659,2153,2716
28017,MS,Chickasaw,5523,963,645,10319,8936
28019,MS,Choctaw,998,650,299,3071,3593
28025,MS,Clay,4332,1128,549,10398,9867
28033,MS,DeSoto,7311,2934,883,27984,65460
