Per capita personal income 2/,FIPS,AreaName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
3,1117,"Shelby, AL",2837,2914,3319,3714,4208,4628,5163,5824,6242,7005,8097,8949,9880,10728,11737,13068,14238,14777,15593,16987,18544,19908,20744,22612,23257,24712,26875,28378,29588,30906,32247,33135,33697,34005,34249,36838,40017,41879,44401,44658
3,1119,"Sumter, AL",1593,1931,2210,2505,2924,3254,3436,3974,3930,4713,5375,5401,6031,6382,7002,7295,7917,7960,8290,8944,9966,10686,11300,12348,12689,12982,13767,13998,14727,15558,16272,16731,17130,18004,18730,20054,20811,22270,22975,24129
3,1121,"Talladega, AL",2469,2636,2907,3164,3469,3750,4085,4675,5050,5607,6275,6992,7546,8039,8742,9197,9691,10242,10854,11557,12308,12924,13402,14049,14449,15157,15729,16293,17191,17952,18331,19156,20701,22192,24004,25322,27171,28073,29522,30324
3,1123,"Tallapoosa, AL",2499,2703,2932,3210,3588,3853,4142,4761,5391,5788,6387,7365,8039,8374,9187,9994,10684,11572,12227,13034,14300,14783,15467,16847,17253,17742,18717,18986,19839,20637,21046,21464,22062,21626,22710,24165,25513,27545,28708,29889
3,1125,"Tuscaloosa, AL",2579,2865,3168,3465,3834,4284,4797,5205,5907,6442,7141,7549,8354,9046,9693,10712,11419,11722,12535,13162,14433,15548,16039,17129,17894,18943,19713,20361,21196,22644,23544,24579,25761,26636,27452,28347,30303,31940,33692,34492
3,1127,"Walker, AL",2395,2699,2956,3287,3730,4045,4565,5017,5522,6106,7039,7839,8392,9251,9766,10613,11280,11416,12076,13457,13962,14787,16093,15972,16551,16937,17922,18365,19127,20013,20472,20827,22241,23296,24276,25515,27216,28685,29710,30572
3,1129,"Washington, AL",1989,2135,2364,2437,2826,3082,3549,4152,5130,5182,6015,6848,7029,7166,7431,8408,9378,9974,10494,10225,11207,12868,13544,13718,14636,15942,15554,15796,16722,17092,17484,18118,18764,18888,19470,21235,21567,22665,24217,25506
3,1131,"Wilcox, AL",1703,1936,1998,2244,2715,3026,3168,3620,4029,4710,5449,5510,6047,6352,6959,7124,7601,7622,8007,8558,9260,9944,10401,11055,12028,12321,12784,13014,13668,14437,15552,16072,16796,17057,18050,19185,19039,20165,20818,21228
3,1133,"Winston, AL",2534,2574,2691,2947,3318,3267,3808,4137,4594,5261,5764,6557,6854,7455,8597,9153,9261,9764,9959,10962,12516,12516,13516,14708,16102,16608,17608,18404,18533,19020,19586,18951,20003,20064,20590,22455,23893,24021,24851,25707
3,2010,"Aleutian Islands Census Area, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,13842,14661,14752,14341,14325,14404,16169,17718,17669,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) 
3,2013,"Aleutians East Borough, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,15649,16551,18449,22069,22868,18835,19867,20258,19649,19988,19868,21590,22003,29809,24383,24685,25794,27347,29625,28039,32168
3,2016,"Aleutians West Census Area, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,20671,19841,21100,23193,25153,22626,25452,27117,24481,21659,21527,23653,21309,22646,25637,26862,26946,28275,30834,32906,36127
3,2020,"Anchorage Municipality, AK",5638,6110,6379,6613,7100,8612,10902,12508,13754,13571,14169,16270,18406,21169,21527,22692,23328,22927,22285,22547,24462,25597,26141,26716,27615,28366,28686,29451,30943,31797,32551,34389,36966,38088,38453,40298,42304,44601,47051,49805
3,2050,"Bethel Census Area, AK",(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,(N) ,6149,7886,9086,10379,11058,11014,11635,11974,12208,12605,13227,14117,14567,15255,16787,17077,17319,17354,17966,18477,18183,19800,21676,23051,23947,24731,25464,26151,27240,29010
